var,val,visit
number of tracts,4,109972017080_0
tract length mean(mm),76.4435,109972017080_0
tract length sd(mm),0.509672,109972017080_0
tracts volume (mm^3),512,109972017080_0
qa mean,0.313095,109972017080_0
qa sd,0.209597,109972017080_0
nqa mean,0.256522,109972017080_0
nqa sd,0.171725,109972017080_0
dti_fa mean,0.341455,109972017080_0
dti_fa sd,0.199638,109972017080_0
md mean,0.37173,109972017080_0
md sd,0.0927254,109972017080_0
ad mean,0.507403,109972017080_0
ad sd,0.0884446,109972017080_0
rd mean,0.303894,109972017080_0
rd sd,0.118789,109972017080_0
gfa mean,0.0795621,109972017080_0
gfa sd,0.0399741,109972017080_0
iso mean,0.809869,109972017080_0
iso sd,0.0931435,109972017080_0
rdi02L mean,0.617557,109972017080_0
rdi02L sd,0.10187,109972017080_0
rdi04L mean,0.980483,109972017080_0
rdi04L sd,0.155548,109972017080_0
rdi06L mean,1.07216,109972017080_0
rdi06L sd,0.161947,109972017080_0
rdi08L mean,1.07564,109972017080_0
rdi08L sd,0.161853,109972017080_0
rdi10L mean,1.07773,109972017080_0
rdi10L sd,0.16219,109972017080_0
rdi12L mean,1.07884,109972017080_0
rdi12L sd,0.162401,109972017080_0
nrdi02L mean,0.461285,109972017080_0
nrdi02L sd,0.0711275,109972017080_0
nrdi04L mean,0.0983585,109972017080_0
nrdi04L sd,0.0367034,109972017080_0
nrdi06L mean,0.00667834,109972017080_0
nrdi06L sd,0.0202899,109972017080_0
nrdi08L mean,0.00319696,109972017080_0
nrdi08L sd,0.0097079,109972017080_0
nrdi10L mean,0.00111483,109972017080_0
nrdi10L sd,0.00307011,109972017080_0
nrdi12L mean,0,109972017080_0
nrdi12L sd,0,109972017080_0
number of tracts,957,109972017080_10
tract length mean(mm),111.135,109972017080_10
tract length sd(mm),25.275,109972017080_10
tracts volume (mm^3),26376,109972017080_10
qa mean,0.254162,109972017080_10
qa sd,0.157272,109972017080_10
nqa mean,0.208239,109972017080_10
nqa sd,0.128851,109972017080_10
dti_fa mean,0.266042,109972017080_10
dti_fa sd,0.193902,109972017080_10
md mean,0.408099,109972017080_10
md sd,0.155522,109972017080_10
ad mean,0.507078,109972017080_10
ad sd,0.155131,109972017080_10
rd mean,0.358612,109972017080_10
rd sd,0.169797,109972017080_10
gfa mean,0.0678762,109972017080_10
gfa sd,0.035697,109972017080_10
iso mean,0.845365,109972017080_10
iso sd,0.324953,109972017080_10
rdi02L mean,0.616733,109972017080_10
rdi02L sd,0.201265,109972017080_10
rdi04L mean,0.986822,109972017080_10
rdi04L sd,0.337187,109972017080_10
rdi06L mean,1.09093,109972017080_10
rdi06L sd,0.395548,109972017080_10
rdi08L mean,1.09936,109972017080_10
rdi08L sd,0.404529,109972017080_10
rdi10L mean,1.10311,109972017080_10
rdi10L sd,0.406017,109972017080_10
rdi12L mean,1.10506,109972017080_10
rdi12L sd,0.406055,109972017080_10
nrdi02L mean,0.48833,109972017080_10
nrdi02L sd,0.21245,109972017080_10
nrdi04L mean,0.118235,109972017080_10
nrdi04L sd,0.0872442,109972017080_10
nrdi06L mean,0.0141331,109972017080_10
nrdi06L sd,0.0328485,109972017080_10
nrdi08L mean,0.00569671,109972017080_10
nrdi08L sd,0.0140446,109972017080_10
nrdi10L mean,0.00194916,109972017080_10
nrdi10L sd,0.00423134,109972017080_10
nrdi12L mean,0,109972017080_10
nrdi12L sd,0,109972017080_10
number of tracts,1421,109972017080_11
tract length mean(mm),124.822,109972017080_11
tract length sd(mm),17.8329,109972017080_11
tracts volume (mm^3),30216,109972017080_11
qa mean,0.278584,109972017080_11
qa sd,0.161732,109972017080_11
nqa mean,0.228247,109972017080_11
nqa sd,0.13251,109972017080_11
dti_fa mean,0.319025,109972017080_11
dti_fa sd,0.165903,109972017080_11
md mean,0.355384,109972017080_11
md sd,0.107699,109972017080_11
ad mean,0.470777,109972017080_11
ad sd,0.122747,109972017080_11
rd mean,0.297687,109972017080_11
rd sd,0.116381,109972017080_11
gfa mean,0.0736384,109972017080_11
gfa sd,0.0285779,109972017080_11
iso mean,0.797143,109972017080_11
iso sd,0.176026,109972017080_11
rdi02L mean,0.60878,109972017080_11
rdi02L sd,0.136365,109972017080_11
rdi04L mean,0.96404,109972017080_11
rdi04L sd,0.216349,109972017080_11
rdi06L mean,1.05046,109972017080_11
rdi06L sd,0.23746,109972017080_11
rdi08L mean,1.0534,109972017080_11
rdi08L sd,0.238765,109972017080_11
rdi10L mean,1.05525,109972017080_11
rdi10L sd,0.239386,109972017080_11
rdi12L mean,1.05634,109972017080_11
rdi12L sd,0.239676,109972017080_11
nrdi02L mean,0.447568,109972017080_11
nrdi02L sd,0.110551,109972017080_11
nrdi04L mean,0.0923116,109972017080_11
nrdi04L sd,0.0433611,109972017080_11
nrdi06L mean,0.0058813,109972017080_11
nrdi06L sd,0.0197933,109972017080_11
nrdi08L mean,0.00294083,109972017080_11
nrdi08L sd,0.00970113,109972017080_11
nrdi10L mean,0.00110106,109972017080_11
nrdi10L sd,0.00328045,109972017080_11
nrdi12L mean,0,109972017080_11
nrdi12L sd,0,109972017080_11
number of tracts,56,109972017080_16
tract length mean(mm),148.273,109972017080_16
tract length sd(mm),13.4907,109972017080_16
tracts volume (mm^3),6008,109972017080_16
qa mean,0.23583,109972017080_16
qa sd,0.138572,109972017080_16
nqa mean,0.193217,109972017080_16
nqa sd,0.113534,109972017080_16
dti_fa mean,0.245214,109972017080_16
dti_fa sd,0.173473,109972017080_16
md mean,0.413534,109972017080_16
md sd,0.123785,109972017080_16
ad mean,0.510018,109972017080_16
ad sd,0.118767,109972017080_16
rd mean,0.365292,109972017080_16
rd sd,0.139066,109972017080_16
gfa mean,0.0617414,109972017080_16
gfa sd,0.0317281,109972017080_16
iso mean,0.857241,109972017080_16
iso sd,0.190823,109972017080_16
rdi02L mean,0.62472,109972017080_16
rdi02L sd,0.128193,109972017080_16
rdi04L mean,0.998418,109972017080_16
rdi04L sd,0.208725,109972017080_16
rdi06L mean,1.10155,109972017080_16
rdi06L sd,0.237171,109972017080_16
rdi08L mean,1.10695,109972017080_16
rdi08L sd,0.239186,109972017080_16
rdi10L mean,1.10946,109972017080_16
rdi10L sd,0.239599,109972017080_16
rdi12L mean,1.11071,109972017080_16
rdi12L sd,0.239468,109972017080_16
nrdi02L mean,0.485987,109972017080_16
nrdi02L sd,0.118831,109972017080_16
nrdi04L mean,0.112289,109972017080_16
nrdi04L sd,0.0490359,109972017080_16
nrdi06L mean,0.00915162,109972017080_16
nrdi06L sd,0.0200136,109972017080_16
nrdi08L mean,0.00375294,109972017080_16
nrdi08L sd,0.00896397,109972017080_16
nrdi10L mean,0.00124409,109972017080_16
nrdi10L sd,0.00302669,109972017080_16
nrdi12L mean,0,109972017080_16
nrdi12L sd,0,109972017080_16
number of tracts,8906,109972017080_17
tract length mean(mm),106.006,109972017080_17
tract length sd(mm),26.6344,109972017080_17
tracts volume (mm^3),64920,109972017080_17
qa mean,0.282492,109972017080_17
qa sd,0.166752,109972017080_17
nqa mean,0.231447,109972017080_17
nqa sd,0.136623,109972017080_17
dti_fa mean,0.323174,109972017080_17
dti_fa sd,0.168466,109972017080_17
md mean,0.357441,109972017080_17
md sd,0.107749,109972017080_17
ad mean,0.479516,109972017080_17
ad sd,0.131248,109972017080_17
rd mean,0.296407,109972017080_17
rd sd,0.115587,109972017080_17
gfa mean,0.0770224,109972017080_17
gfa sd,0.0325598,109972017080_17
iso mean,0.779741,109972017080_17
iso sd,0.168444,109972017080_17
rdi02L mean,0.59483,109972017080_17
rdi02L sd,0.129392,109972017080_17
rdi04L mean,0.942567,109972017080_17
rdi04L sd,0.205419,109972017080_17
rdi06L mean,1.02808,109972017080_17
rdi06L sd,0.226063,109972017080_17
rdi08L mean,1.03143,109972017080_17
rdi08L sd,0.228187,109972017080_17
rdi10L mean,1.03365,109972017080_17
rdi10L sd,0.229456,109972017080_17
rdi12L mean,1.03495,109972017080_17
rdi12L sd,0.229962,109972017080_17
nrdi02L mean,0.44014,109972017080_17
nrdi02L sd,0.108794,109972017080_17
nrdi04L mean,0.0924035,109972017080_17
nrdi04L sd,0.0465954,109972017080_17
nrdi06L mean,0.00686972,109972017080_17
nrdi06L sd,0.0227617,109972017080_17
nrdi08L mean,0.00351041,109972017080_17
nrdi08L sd,0.0110277,109972017080_17
nrdi10L mean,0.00129907,109972017080_17
nrdi10L sd,0.00365315,109972017080_17
nrdi12L mean,0,109972017080_17
nrdi12L sd,0,109972017080_17
number of tracts,6541,109972017080_19
tract length mean(mm),51.9993,109972017080_19
tract length sd(mm),6.59122,109972017080_19
tracts volume (mm^3),9360,109972017080_19
qa mean,0.195631,109972017080_19
qa sd,0.108064,109972017080_19
nqa mean,0.160284,109972017080_19
nqa sd,0.0885346,109972017080_19
dti_fa mean,0.279741,109972017080_19
dti_fa sd,0.207504,109972017080_19
md mean,0.32482,109972017080_19
md sd,0.0780232,109972017080_19
ad mean,0.41497,109972017080_19
ad sd,0.0575318,109972017080_19
rd mean,0.279744,109972017080_19
rd sd,0.102223,109972017080_19
gfa mean,0.0622336,109972017080_19
gfa sd,0.0324207,109972017080_19
iso mean,0.682666,109972017080_19
iso sd,0.0854664,109972017080_19
rdi02L mean,0.512585,109972017080_19
rdi02L sd,0.0582568,109972017080_19
rdi04L mean,0.810878,109972017080_19
rdi04L sd,0.0937876,109972017080_19
rdi06L mean,0.881923,109972017080_19
rdi06L sd,0.105502,109972017080_19
rdi08L mean,0.881982,109972017080_19
rdi08L sd,0.105564,109972017080_19
rdi10L mean,0.882019,109972017080_19
rdi10L sd,0.105556,109972017080_19
rdi12L mean,0.882189,109972017080_19
rdi12L sd,0.105638,109972017080_19
nrdi02L mean,0.369595,109972017080_19
nrdi02L sd,0.0501295,109972017080_19
nrdi04L mean,0.0713092,109972017080_19
nrdi04L sd,0.016739,109972017080_19
nrdi06L mean,0.000263667,109972017080_19
nrdi06L sd,0.00134984,109972017080_19
nrdi08L mean,0.000205477,109972017080_19
nrdi08L sd,0.00103095,109972017080_19
nrdi10L mean,0.000169337,109972017080_19
nrdi10L sd,0.000720305,109972017080_19
nrdi12L mean,0,109972017080_19
nrdi12L sd,0,109972017080_19
number of tracts,440584,109972017080_1
tract length mean(mm),23.2993,109972017080_1
tract length sd(mm),10.3549,109972017080_1
tracts volume (mm^3),20864,109972017080_1
qa mean,0.238463,109972017080_1
qa sd,0.113759,109972017080_1
nqa mean,0.194954,109972017080_1
nqa sd,0.0944083,109972017080_1
dti_fa mean,0.373202,109972017080_1
dti_fa sd,0.194827,109972017080_1
md mean,0.303866,109972017080_1
md sd,0.0718884,109972017080_1
ad mean,0.428158,109972017080_1
ad sd,0.0124811,109972017080_1
rd mean,0.24301,109972017080_1
rd sd,0.0959884,109972017080_1
gfa mean,0.0765535,109972017080_1
gfa sd,0.0320521,109972017080_1
iso mean,0.690166,109972017080_1
iso sd,NA,109972017080_1
rdi02L mean,0.525863,109972017080_1
rdi02L sd,0.122746,109972017080_1
rdi04L mean,0.85688,109972017080_1
rdi04L sd,NA,109972017080_1
rdi06L mean,0.919826,109972017080_1
rdi06L sd,NA,109972017080_1
rdi08L mean,0.919927,109972017080_1
rdi08L sd,NA,109972017080_1
rdi10L mean,0.920022,109972017080_1
rdi10L sd,NA,109972017080_1
rdi12L mean,0.920106,109972017080_1
rdi12L sd,NA,109972017080_1
nrdi02L mean,0.373701,109972017080_1
nrdi02L sd,0.0719236,109972017080_1
nrdi04L mean,0.0684585,109972017080_1
nrdi04L sd,0.0163663,109972017080_1
nrdi06L mean,0.000221814,109972017080_1
nrdi06L sd,0.0029234,109972017080_1
nrdi08L mean,0.000144437,109972017080_1
nrdi08L sd,0.00172289,109972017080_1
nrdi10L mean,7.33638e-05,109972017080_1
nrdi10L sd,0.000703033,109972017080_1
nrdi12L mean,0,109972017080_1
nrdi12L sd,0,109972017080_1
number of tracts,2246,109972017080_20
tract length mean(mm),106.168,109972017080_20
tract length sd(mm),50.9083,109972017080_20
tracts volume (mm^3),19648,109972017080_20
qa mean,0.231637,109972017080_20
qa sd,0.14224,109972017080_20
nqa mean,0.189783,109972017080_20
nqa sd,0.116535,109972017080_20
dti_fa mean,0.277669,109972017080_20
dti_fa sd,0.18777,109972017080_20
md mean,0.351636,109972017080_20
md sd,0.0881581,109972017080_20
ad mean,0.445716,109972017080_20
ad sd,0.0694836,109972017080_20
rd mean,0.304597,109972017080_20
rd sd,0.10831,109972017080_20
gfa mean,0.0630624,109972017080_20
gfa sd,0.0327037,109972017080_20
iso mean,0.800238,109972017080_20
iso sd,0.150436,109972017080_20
rdi02L mean,0.599549,109972017080_20
rdi02L sd,0.107589,109972017080_20
rdi04L mean,0.95186,109972017080_20
rdi04L sd,0.172165,109972017080_20
rdi06L mean,1.03993,109972017080_20
rdi06L sd,0.191496,109972017080_20
rdi08L mean,1.04077,109972017080_20
rdi08L sd,0.193009,109972017080_20
rdi10L mean,1.04097,109972017080_20
rdi10L sd,0.193039,109972017080_20
rdi12L mean,1.04118,109972017080_20
rdi12L sd,0.193011,109972017080_20
nrdi02L mean,0.441622,109972017080_20
nrdi02L sd,0.0895965,109972017080_20
nrdi04L mean,0.0893215,109972017080_20
nrdi04L sd,0.0297317,109972017080_20
nrdi06L mean,0.00124479,109972017080_20
nrdi06L sd,0.00632775,109972017080_20
nrdi08L mean,0.000411149,109972017080_20
nrdi08L sd,0.00259776,109972017080_20
nrdi10L mean,0.000205272,109972017080_20
nrdi10L sd,0.00105088,109972017080_20
nrdi12L mean,0,109972017080_20
nrdi12L sd,0,109972017080_20
number of tracts,87301,109972017080_22
tract length mean(mm),46.5824,109972017080_22
tract length sd(mm),34.965,109972017080_22
tracts volume (mm^3),70288,109972017080_22
qa mean,0.345922,109972017080_22
qa sd,0.227939,109972017080_22
nqa mean,0.283271,109972017080_22
nqa sd,0.187297,109972017080_22
dti_fa mean,0.347155,109972017080_22
dti_fa sd,0.222915,109972017080_22
md mean,0.396751,109972017080_22
md sd,0.105387,109972017080_22
ad mean,0.552079,109972017080_22
ad sd,0.129259,109972017080_22
rd mean,0.318624,109972017080_22
rd sd,0.131892,109972017080_22
gfa mean,0.086269,109972017080_22
gfa sd,0.0467826,109972017080_22
iso mean,0.792057,109972017080_22
iso sd,0.1553,109972017080_22
rdi02L mean,0.596516,109972017080_22
rdi02L sd,0.111001,109972017080_22
rdi04L mean,0.947184,109972017080_22
rdi04L sd,0.181807,109972017080_22
rdi06L mean,1.03811,109972017080_22
rdi06L sd,0.194665,109972017080_22
rdi08L mean,1.04157,109972017080_22
rdi08L sd,0.198529,109972017080_22
rdi10L mean,1.04383,109972017080_22
rdi10L sd,0.198462,109972017080_22
rdi12L mean,1.04531,109972017080_22
rdi12L sd,0.198541,109972017080_22
nrdi02L mean,0.447771,109972017080_22
nrdi02L sd,0.102668,109972017080_22
nrdi04L mean,0.0965644,109972017080_22
nrdi04L sd,0.0462128,109972017080_22
nrdi06L mean,0.00724355,109972017080_22
nrdi06L sd,0.0204834,109972017080_22
nrdi08L mean,0.00369759,109972017080_22
nrdi08L sd,0.0102647,109972017080_22
nrdi10L mean,0.00149223,109972017080_22
nrdi10L sd,0.00358529,109972017080_22
nrdi12L mean,0,109972017080_22
nrdi12L sd,0,109972017080_22
number of tracts,160808,109972017080_23
tract length mean(mm),37.2273,109972017080_23
tract length sd(mm),30.3755,109972017080_23
tracts volume (mm^3),59704,109972017080_23
qa mean,0.368476,109972017080_23
