id	dwi	run	acqtime	acqdiff	n_ses_fmap
sub-10195_ses-20170824	59970.1	run-1acq-dwi	59232.8525	737.247499999998	3
sub-10195_ses-20190321	41592.195	run-1acq-dwi	40627.035	965.159999999996	3
sub-11228_ses-20170803	59201.9075	run-1acq-dwi	58451.3225	750.584999999999	3
sub-11228_ses-20190418	46721.125	run-1acq-dwi	45604.9675	1116.1575	3
sub-11248_ses-20170803	42417.0575	run-1acq-dwi	41674.8525	742.205000000002	3
sub-11248_ses-20190307	42601.0825	run-1acq-dwi	41563.4025	1037.68	3
sub-11270_ses-20160729	42150.63	run-1acq-dwi	41411.1075	739.522499999999	3
sub-11275_ses-20160519	42157.885	run-1acq-dwi	41333.34	824.545000000006	3
sub-11275_ses-20171116	57977.0675	run-1acq-dwi	57225.305	751.762499999997	3
sub-11289_ses-20170427	51563.0775	run-1acq-dwi	50827.56	735.517500000002	3
sub-11289_ses-20181011	42540.1175	run-1acq-dwi	41782.235	757.8825	3
sub-11346_ses-20160201	50336.0625	run-1acq-dwi	48861.195	1474.8675	1
sub-11393_ses-20170914	42672.07	run-1acq-dwi	41839.2225	832.847499999996	3
sub-11393_ses-20190502	57707.1075	run-1acq-dwi	56809.8325	897.275000000001	3
sub-11394_ses-20151014	43036.0775	run-1acq-dwi	42269.33	766.747499999998	3
sub-11394_ses-20170505	50348.1625	run-1acq-dwi	49604.24	743.922500000001	3
sub-11394_ses-20190111	60249.0325	run-1acq-dwi	59267.9625	981.07	3
sub-11395_ses-20160305	48717.05	run-1acq-dwi	47416.41	1300.64	1
sub-11403_ses-20170421	55969.1075	run-1acq-dwi	55175.6825	793.424999999996	3
sub-11405_ses-20170622	58822.005	run-1acq-dwi	58076.595	745.409999999996	3
sub-11409_ses-20170525	49235.0625	run-1acq-dwi	48535.0325	700.029999999999	3
sub-11409_ses-20190221	58259.0775	run-1acq-dwi	57245.96	1013.1175	3
sub-11411_ses-20170818	50477.1075	run-1acq-dwi	49727.2325	749.875	3
sub-11411_ses-20190530	42233.07	run-1acq-dwi	41432.865	800.205000000002	3
sub-11415_ses-20170622	42312.825	run-1acq-dwi	41595.18	717.644999999997	3
sub-11419_ses-20170526	50734.1	run-1acq-dwi	49973.26	760.839999999997	3
sub-11419_ses-20190117	41997.795	run-1acq-dwi	41079.7775	918.017500000002	3
sub-11421_ses-20170428	50730.12	run-1acq-dwi	49966.2925	763.827499999999	3
sub-11421_ses-20181018	59002.23	run-1acq-dwi	57602.3775	1399.8525	3
sub-11425_ses-20160215	49080.09	run-1acq-dwi	47743.32	1336.77	1
sub-11426_ses-20151112	42694.9025	run-1acq-dwi	41920.1875	774.714999999997	3
sub-11426_ses-20170504	57193.1175	run-1acq-dwi	56484.815	708.302499999998	3
sub-11426_ses-20190214	42400.075	run-1acq-dwi	41406.2525	993.822499999995	3
sub-11429_ses-20170406	56766.12	run-1acq-dwi	56038.2375	727.8825	3
sub-11431_ses-20151009	49455.91	run-1acq-dwi	48628.36	827.550000000003	3
sub-11431_ses-20170323	58351.0875	run-1acq-dwi	57318.9325	1032.155	3
sub-11431_ses-20190131	42661.5275	run-1acq-dwi	41690.195	971.332499999997	3
sub-11439_ses-20151008	44204.0925	run-1acq-dwi	43394.5075	809.584999999999	3
sub-11441_ses-20170420	56512.0575	run-1acq-dwi	55770.6425	741.415000000001	3
sub-11441_ses-20190117	57749.1275	run-1acq-dwi	56787.9425	961.185000000005	3
sub-11443_ses-20170518	50459.1325	run-1acq-dwi	49743.7625	715.370000000003	3
sub-11444_ses-20170615	42654.0975	run-1acq-dwi	41964.4175	689.68	3
sub-11445_ses-20170609	50672.115	run-1acq-dwi	49966.415	705.699999999997	3
sub-11445_ses-20181220	42694.6075	run-1acq-dwi	41931.225	763.3825	3
sub-11447_ses-20170525	62893.1175	run-1acq-dwi	62149.5875	743.529999999999	3
sub-11447_ses-20190110	59235.0525	run-1acq-dwi	58339.49	895.5625	3
sub-11448_ses-20170512	52854.9025	run-1acq-dwi	52149.665	705.237499999996	3
sub-11449_ses-20170608	56846.925	run-1acq-dwi	56143.43	703.495000000003	3
sub-11449_ses-20190228	41882.0975	run-1acq-dwi	40921.84	960.257500000007	3
sub-11451_ses-20170728	52158.0475	run-1acq-dwi	51396.1375	761.910000000003	3
sub-11452_ses-20170915	51322.89	run-1acq-dwi	50557.375	765.514999999999	3
sub-11452_ses-20190328	49628.0875	run-1acq-dwi	48681.1725	946.915000000001	3
sub-11455_ses-20170615	58330.08	run-1acq-dwi	57557.08	773	3
sub-11455_ses-20181220	58412.8125	run-1acq-dwi	57400.8925	1011.92	3
sub-11457_ses-20170616	50491.8975	run-1acq-dwi	49758.935	732.962500000001	3
sub-11457_ses-20190207	60370.09	run-1acq-dwi	59433.55	936.539999999994	3
sub-11458_ses-20170804	52974.1225	run-1acq-dwi	52179.975	794.147499999999	3
sub-11458_ses-20190314	42465.0825	run-1acq-dwi	41447.615	1017.4675	3
sub-11460_ses-20170707	51263.7675	run-1acq-dwi	50537.5125	726.255000000005	3
sub-11461_ses-20190207	42300.1125	run-1acq-dwi	41425.055	875.057500000003	3
sub-11463_ses-20170713	42167.115	run-1acq-dwi	41484.3875	682.727500000001	3
sub-11463_ses-20190222	59214.1925	run-1acq-dwi	58265.2075	948.985000000001	3
sub-11465_ses-20190426	60395.085	run-1acq-dwi	59483.305	911.779999999999	3
sub-11472_ses-20170706	42471.63	run-1acq-dwi	41756.2825	715.347499999996	3
sub-11475_ses-20170630	50213.865	run-1acq-dwi	49450.86	763.004999999997	3
sub-11480_ses-20170720	41421.4325	run-1acq-dwi	40568.9775	852.455000000002	3
sub-11480_ses-20190021	58164.09	run-1acq-dwi	57123.3325	1040.7575	3
sub-11481_ses-20170714	50306.07	run-1acq-dwi	49618.2775	687.792500000003	3
sub-11481_ses-20190208	60148.09	run-1acq-dwi	58879.4175	1268.67249999999	3
sub-11482_ses-20170921	43566.095	run-1acq-dwi	42707.38	858.715000000004	3
sub-11482_ses-20190411	57597.0525	run-1acq-dwi	56734.565	862.487499999996	3
sub-11484_ses-20160130	49426.7775	run-1acq-dwi	48030.0875	1396.69	1
